# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
%s %slooks at your corpse%s and %s.	%s %smira tu cadaver%s y %s.
%s gratefully inherits all your possessions.	%s hereda con agradecimiento todas tus posesiones.
%s %s all your possessions.	%s %s todas tus posesiones.
%s %s the %ld %s %sowed %s.	%s %s los %ld %s que %sdebias a %s.
finish_paybill: bad location <%d,%d>.	finish_paybill: ubicacion erronea <%d,%d>.
bad glass gem %d?	¿gema de cristal erronea %d?
%s seems %s that you want to sell that.	%s parece %s que quieras vender eso.
I won't stock that.  Take it out of here!	No voy a almacenar eso.  ¡Sacalo de aqui!
%s shakes %s %s in refusal.	%s sacude su %s %s en rechazo.
unpaid_cost: object wasn't on any bill.	unpaid_cost: el objeto no estaba en ninguna cuenta.
got that for free!	¡lo has conseguido gratis!
%s has no interest in %s.	%s no tiene interes en %s.
%s will cost you %ld %s%s.	%s te costara %ld %s%s.
%s %ld %s %s %s%s."	%s %ld %s %s %s%s."
%s does not notice.	%s no se da cuenta.
splitbill: no resident shopkeeper??	splitbill: ¿¿sin tendero residente??
splitbill: not on bill?	splitbill: ¿no en cuenta?
Negative quantity on bill??	¿¿Cantidad negativa en cuenta??
sub_one_frombill: unpaid object not on bill	sub_one_frombill: objeto no pagado no en cuenta
%s booms: "%s, you are a thief!"	%s retumba: "¡%s, eres un ladron!"
%ld %s added%s to your credit; total is now %ld %s.	%ld %s anadido%s a tu credito; el total es ahora %ld %s.
%s seems uninterested.	%s parece desinteresado.
Thank you for your contribution to restock this recently plundered shop.	Gracias por tu contribucion para reabastecer esta tienda recientemente saqueada.
%s seems uninterested%s.	%s parece desinteresado%s.
%s cannot pay you at present.	%s no puede pagarte por ahora.
invalid sell response	respuesta de venta invalida
doinvbill: no shopkeeper?	doinvbill: ¿sin tendero?
%s nimbly%s catches %s.	%s agilmente%s atrapa %s.
%s whispers %s.	%s susurra %s.
someone muttering an incantation.	alguien murmurando un encantamiento.
%s untraps %s.	%s desactiva la trampa de %s.
%s, %s!  I was looking for %s.	¡%s, %s!  Estaba buscando %s.
%s, %s!  Didn't you forget to pay?	¡%s, %s!  ¿No se te olvido pagar?
%s holds out %s upturned %s.	%s extiende su %s %s vuelto hacia arriba.
%s doesn't like customers who don't pay.	a %s no le gustan los clientes que no pagan.
Be careful, %s, or you might fall through the floor.	Cuidado, %s, o podrias caer por el suelo.
%s, do not damage the floor here!	¡%s, no danes el suelo aqui!
%s curses %s inability to grab your backpack!	¡%s maldice su %s incapacidad de agarrar tu mochila!
%s curses you in anger and frustration!	¡%s te maldice con ira y frustacion!
%s %s, and %s your backpack!	¡%s %s y %s tu mochila!
%s %s your backpack!	¡%s %s tu mochila!
How dare you %s my %s?	¿Como te atreves a %s mi %s?
%s is %s that you decided to %s %s %s!	¡%s esta %s de que decidieras %s %s %s!
%s shouts:	%s grita:
%s is %s that someone decided to %s %s %s!	¡%s esta %s de que alguien decidiera %s %s %s!
Mollified, %s accepts your restitution.	Apaciguado, %s acepta tu restitucion.
%s lunges %s %s toward your %s!	¡%s se lanza %s %s hacia tu %s!
%s, price %ld %s%s%s	%s, precio %ld %s%s%s
%s asks whether you've seen any untended shops recently.	%s pregunta si has visto alguna tienda sin atender recientemente.
%s %s how much %s dislikes %s customers.	%s %s cuanto odia %s a los clientes %s.
%s %s!  I was looking for %s.	¡%s %s!  Estaba buscando %s.
%s %s!  Didn't you forget to pay?	¡%s %s!  ¿No se te olvido pagar?
%s taps you on the %s.	%s te da un golpecito en el %s.
%s %s that your bill comes to %ld %s.	%s %s que tu cuenta asciende a %ld %s.
%s %s that you owe %s %ld %s.	%s %s que le debes %ld %s.
%s encourages you to use your %ld %s of credit.	%s te anima a usar tu credito de %ld %s.
%s %s about a recent robbery.	%s %s sobre un robo reciente.
%s %s that %s is watching you carefully.	%s %s que %s te vigila cuidadosamente.
%s %s that business is bad.	%s %s que el negocio va mal.
%s %s that business is good.	%s %s que el negocio va bien.
%s talks about the problem of shoplifters.	%s habla del problema de los ladronzuelos.
%s%s blocks your way!	¡%s%s bloquea tu camino!
globby_bill_fixup called for non-globby object	globby_bill_fixup llamado para objeto no globby
You owe me %ld %s for my %s that you %s with your%s	Me debes %ld %s por mi %s que %s con tu%s
Part of %s tail has been cut off.	Parte de la cola de %s ha sido cortada.
cut part of the tail off of %s.	corta parte de la cola de %s.
placing worm seg <%d,%d> over another mon	colocando segmento de gusano <%d,%d> sobre otro mon
replacing worm seg <%d,%d> on empty spot	sustituyendo segmento de gusano <%d,%d> en lugar vacio
wormno %d is set without proper tail	wormno %d esta puesto sin cola apropiada
mon (%s) at seg location is not worm (%s)	mon (%s) en la ubicacion de seg no es gusano (%s)
phantom worm tail #0 [head=%s, %d segment%s; tail=%s, %d segment%s]	cola de gusano fantasma #0 [cabeza=%s, %d segmento%s; cola=%s, %d segmento%s]
place_worm_tail_randomly: wormno is set without a tail!	place_worm_tail_randomly: ¡wormno puesto sin cola!
place_worm_tail_randomly: tail segment at <%d,%d>, worm at <%d,%d>	place_worm_tail_randomly: segmento de cola en <%d,%d>, gusano en <%d,%d>
worm_cross checking for non-adjacent location?	¿worm_cross comprobando ubicacion no adyacente?
insane pet #%u has droptime (%ld) in the future (%ld) (%s)	mascota insana #%u tiene droptime (%ld) en el futuro (%ld) (%s)
monster mnum=%d, monsndx=%d (%s)	monstruo mnum=%d, monsndx=%d (%s)
%s: level %d %s #%u [%s] has %d cur HP, %d max HP	%s: nivel %d %s #%u [%s] tiene %d HP act, %d HP max
dead monster on %s; %s at <%d,%d>	monstruo muerto en %s; %s en <%d,%d>
genocided %s in play (%s)	genocidado %s en juego (%s)
tame %s is not peaceful (%s)	%s amansado no es pacifico (%s)
shk without eshk (%s)	shk sin eshk (%s)
priest without epri (%s)	sacerdote sin epri (%s)
guard without egd (%s)	guardia sin egd (%s)
minion without emin (%s)	esbirro sin emin (%s)
pet without edog (%s)	mascota sin edog (%s)
steed: %s%s%s (%s)	corcel: %s%s%s (%s)
trapped without a trap (%s)	atrapado sin trampa (%s)
frozen monster [%s%s] is able to move (%s)	monstruo congelado [%s%s] puede moverse (%s)
hiding monster stuck to you (%s)	monstruo escondido pegado a ti (%s)
mon hiding under nonexistent obj (%s)	mon escondido bajo obj inexistente (%s)
eel hiding %s (%s)	anguila escondida %s (%s)
ceiling hider hiding %s (%s)	escondedero de techo escondido %s (%s)
hiding while trapped in a non-pit (%s)	escondido mientras atrapado en no-foso (%s)
migrating %s mimicking %s %s	%s migrante imitando %s %s
mimic%s concealed as %s despite Prot-from-shape-changers %s	mimic%s disfrazado de %s a pesar de Prot-contra-cambiaformas %s
non-mimic (%s) posing as %s (%s)	no-mimic (%s) haciendose pasar por %s (%s)
mimic%s concealed in inaccessible location: %s (%s)	mimic%s escondido en ubicacion inaccesible: %s (%s)
monst %u: leashed but no leash for %s	monst %u: atado pero sin correa para %s
monst %u: leashed but not tame %s	monst %u: atado pero no amansado %s
monst %u: leashed but not next to you (%d)	monst %u: atado pero no a tu lado (%d)
mon (%s) claims to be at <%d,%d>?	mon (%s) ¿afirma estar en <%d,%d>?
steed (%s) claims to be at <%d,%d>?	corcel (%s) ¿afirma estar en <%d,%d>?
mon (%s) at <%d,%d> is not there!	mon (%s) en <%d,%d> ¡no esta ahi!
floor mon (%s) with mstate set to 0x%08lx	mon de suelo (%s) con mstate puesto a 0x%08lx
map mon (%s) at <%d,%d> not in fmon list!	mon de mapa (%s) en <%d,%d> ¡no en lista fmon!
steed (%s) is on the map at <%d,%d>!	corcel (%s) ¡esta en el mapa en <%d,%d>!
map mon (%s) at <%d,%d> is found at <%d,%d>?	mon de mapa (%s) en <%d,%d> ¿encontrado en <%d,%d>?
migrating mon (%s) with mstate set to 0x%08lx	mon migrante (%s) con mstate puesto a 0x%08lx
drown %s.	ahoga %s.
%s sinks as %s rushes in and flushes you out.	%s se hunde cuando %s entra y te arrastra fuera.
%s contents spill out onto the %s.	el contenido de %s se derrama sobre el %s.
%s slurping sound%s.	%s sonido%s de sorber.
dmonsfree: %d removed doesn't match %d pending on %s	dmonsfree: %d eliminado no coincide con %d pendiente en %s
replmon: minvent inconsistency	replmon: inconsistencia de minvent
m_detach: %s is already detached?	m_detach: ¿%s ya esta separado?
%s medallion begins to glow!	¡el medallion de %s empieza a brillar!
%s looks much better!	¡%s se ve mucho mejor!
Unfortunately, %s is still genocided...	Desafortunadamente, %s sigue genocidado...
%s through an opening in the new %s.	%s a traves de una abertura en el nuevo %s.
May %s %s in peace.	Que %s %s en paz.
Sticking to %s at distu %d?	¿Pegado a %s en distu %d?
%s corpse ends up buried.	el cadaver de %s acaba enterrado.
That was %sa bad idea...	Eso fue %sa mala idea...
Can't polystone %s!	¡No se puede convertir en piedra a %s!
%s %s under %s.	%s %s bajo %s.
%s %s %s approaching!	¡%s %s %s acercandose!
detect an odor reminiscent of an animal's den.	detectas un olor que recuerda a una madriguera de animal.
detect a%s odor reminiscent of a stable.	detectas un olor %s que recuerda a un establo.
%s moves %s.	%s se mueve %s.
%s tries to move %s, but cannot.	%s intenta mover %s, pero no puede.
try to move %s, but in vain.	intenta mover %s, pero en vano.
However, you %s%s.	Sin embargo, tu %s%s.
%s pushes %s and suddenly it disappears!	¡%s empuja %s y de repente desaparece!
push %s and suddenly it disappears!	¡empuja %s y de repente desaparece!
%s over a boulder here.	%s sobre una roca aqui.
squeeze yourself %s the boulder.	se aprieta %s la roca.
%s won't roll diagonally on this %s.	%s no rodara en diagonal en este %s.
There's %s on the other side.	Hay %s al otro lado.
%s%s cannot move %s.	%s%s no puede mover %s.
%s!  %s %s land mine.	¡%s!  %s %s mina terrestre.
Kerplunk!  You no longer feel %s.	¡Kerplunk!  Ya no te sientes %s.
%s%s and %s a %s in the %s!	¡%s%s y %s un %s en el %s!
%s away from you!	¡%s lejos de ti!
hurt your teeth on the %s.	te danas los dientes con el %s.
start chewing %s %s.	empieza a masticar %s %s.
%s chewing on the %s.	%s masticando el %s.
wobble unsteadily for a moment.	se tambalea inestablemente por un momento.
try to ooze under the door, but can't squeeze your possessions through.	intenta colarse por debajo de la puerta, pero no puede pasar tus pertenencias.
stop, unsure which way to go.	para, sin saber que camino tomar.
Sting cuts through the web!	¡Sting corta la telarana!
%s breaks out of the web.	%s sale de la telarana.
lead %s to the edge of the %s.	lleva %s al borde del %s.
pull yourself to the edge of the %s.	tira de ti mismo al borde del %s.
%s is %s %s.	%s esta %s %s.
%s finally %s free.	%s finalmente %s libre.
finally %s free.	finalmente %s libre.
trapmove: trapped in nothing?	trapmove: ¿atrapado en nada?
trapmove: stuck in unknown trap? (%d)	trapmove: ¿atrapado en trampa desconocida? (%d)
(Tip: use the #enhance command to advance them.)	(Consejo: usa el comando #enhance para mejorarlas.)
(Tip: use '%s' prefix to step in if you really want to.)	(Consejo: usa el prefijo '%s' para entrar si realmente quieres.)
(Tip: perhaps #untrap would help?)	(Consejo: ¿quiza #untrap ayude?)
Unknown tip in handle_tip(%i)	Consejo desconocido en handle_tip(%i)
avoid %s into the %s.	evita %s en el %s.
Pardon me, %s.	Perdon, %s.
move right into %s.	se mueve directamente a %s.
%s %s through the web!	¡%s %s a traves de la telarana!
%s ineffectually at some of the strands.	%s sin eficacia contra algunos hilos.
%s through the web.	%s a traves de la telarana.
stop.  %s can't move diagonally.	para.  %s no puede moverse en diagonal.
stop.  %s won't fit into the same spot that you're at.	para.  %s no cabe en el mismo lugar que tu.
stop.  %s won't fit through.	para.  %s no cabe a traves.
stop.  %s can't move out of %s%s.	para.  %s no puede salir de %s%s.
stop.  %s doesn't want to swap places.	para.  %s no quiere intercambiar lugares.
that's strange, unknown mintrap result!	que extrano, ¡resultado de mintrap desconocido!
%s%s %s.	%s%s %s.
stop at the edge of the %s.	se detiene al borde del %s.
pop into an air bubble.	aparece en una burbuja de aire.
leave the %s...	abandona el %s...
pop out of the %s like a cork!	¡sale del %s como un corcho!
fly out of the %s.	sale volando del %s.
slowly rise above the surface.	asciende lentamente sobre la superficie.
%s jumps near you from the %s.	%s salta cerca de ti desde el %s.
surprise %s!	¡sorprende a %s!
%s attacks you by surprise!	¡%s te ataca por sorpresa!
enter an opulent%s room!	¡entras en una opulenta sala %s!
%s away!  %s away!	¡%s fuera!  ¡%s fuera!
enter a giant beehive!	¡entras en una gigantesca colmena!
enter a disgusting nest!	¡entras en un nido asqueroso!
enter a military barracks!	¡entras en un cuartel militar!
%s, %s, welcome to Delphi!	¡%s, %s, bienvenido a Delfos!
pick up %s tongue.	recoge la lengua de %s.
But it's kind of slimy, so you drop it.	Pero es algo babosa, asi que la sueltas.
It must weigh%s a ton!	¡Debe de pesar%s una tonelada!
%s, all your powers will be lost...	%s, todos tus poderes se perderan...
hero losing %d hit points due to "%s"?	¿heroe perdiendo %d puntos de golpe por "%s"?
%s level %d.	%s nivel %d.
At your %s, the corpse suddenly moves...	A tu %s, el cadaver se mueve de repente...
%s %s %s, but %s%s%s%s.	%s %s %s, pero %s%s%s%s.
pickup_object: count %ld > quan %ld?	pickup_object: ¿recuento %ld > cant %ld?
rebalance your load.  Movement is difficult.	reajustas tu carga.  El movimiento es dificil.
%s under your heavy load.  Movement is very hard.	%s bajo tu pesada carga.  El movimiento es muy dificil.
%s move a handspan with this load!	¡%s mover un palmo con esta carga!
rebalance your load.  Movement is still difficult.	reajustas tu carga.  El movimiento sigue siendo dificil.
%s under your load.  Movement is still very hard.	%s bajo tu carga.  El movimiento sigue siendo muy dificil.
%s locked.	%s cerrado.
Hmmm, %s turns out to be locked.	Hmmm, %s resulta estar cerrado.
carefully open %s...	abre cuidadosamente %s...
need to dig up the grave to effectively loot it...	necesitas desenterrar la tumba para saquearla efectivamente...
%s to loot on the %s.	%s para saquear en el %s.
%s %s%shere to loot.	%s %s%saqui para saquear.
%s %s to loot.	%s %s para saquear.
Thank you for your contribution to reduce the debt.	Gracias por tu contribucion para reducir la deuda.
take %s off of %s.	quita %s de %s.
<in> no gc.current_container?	<in> ¿sin gc.current_container?
%s cannot be confined in such trappings.	%s no puede ser confinado en tales ataduras.
%s attached to your pet.	%s sujeto a tu mascota.
As you put %s inside, you are blasted by a magical explosion!	¡Cuando metes %s dentro, una explosion magica te golpea!
put %s into %s.	mete %s en %s.
<out> no gc.current_container?	<out> ¿sin gc.current_container?
%s %s vanished!	¡%s %s desaparecido!
%s %s disappear!	¡%s %s desaparece!
%s inside the box is still alive!	¡%s dentro de la caja sigue vivo!
owe %ld %s for lost merchandise.	debes %ld %s por mercancia perdida.
Some %s %s onto the %s%s.	Algo de %s %s en el %s%s.
%s into %s.	%s en %s.
%s out%c	%s fuera%c
As %s %s inside, you are blasted by a magical explosion!	¡Cuando %s %s dentro, una explosion magica te golpea!
%s%c	%s%c
%sbox is now empty.	la %scaja esta ahora vacia.
%s spits %s out in disgust!	¡%s escupe %s con asco!
dog_eat: pet apport <= 0 (%d, %d, %ld, %ld, %d, %u, %u)	dog_eat: apport mascota <= 0 (%d, %d, %ld, %ld, %d, %u, %u)
dog_move for non-pet?	¿dog_move para no-mascota?
%s %s %s where %s was!	¡%s %s %s donde estaba %s!
sense that %s feels rather %s-ish.	sientes que %s se siente mas bien %s-ish.
%s quickly snatches some gold from %s %s %s!	¡%s arrebata rapidamente algo de oro de %s %s %s!
finish taking off your %s.	termina de quitarte tu %s.
stealarm(): dead monster stealing	stealarm(): monstruo muerto robando
Removing embedded scales?	¿Quitando escamas incrustadas?
%s takes off your unseen chain.	%s te quita tu cadena invisible.
%s tries to rob you, but isn't interested in gold.	%s intenta robarte, pero no le interesa el oro.
%s tries to rob you, but there is nothing to steal!	¡%s intenta robarte, pero no hay nada que robar!
%s tries to %s %s%s but gives up.	%s intenta %s %s%s pero se rinde.
%s charms you.  You gladly %s your %s.	%s te hechiza.  Gustosamente %s tu %s.
%s seduces you and %s off your %s.	%s te seduce y se %s tu %s.
monster (%s) taking or picking up nothing?	monstruo (%s) ¿tomando o recogiendo nada?
monster (%s) taking or picking up attached %s (%s)?	monstruo (%s) ¿tomando o recogiendo %s adjunto (%s)?
%s pulls %s away from you and absorbs %s!	¡%s separa %s de ti y absorbe %s!
%s %s pulled from your %s!	¡%s %s arrancado de tu %s!
%s absorbs %s!	¡%s absorbe %s!
%s gold %s.	%s oro %s.
%s releases you!	¡%s te suelta!
%s tries to move %s out of %s way.	%s intenta mover %s fuera de %s camino.
%s moves %s out of %s way!	¡%s mueve %s fuera de %s camino!
%s divides as %s hits it!	¡%s se divide cuando %s le golpea!
%s attempt to engulf %s is futile.	el intento de %s de engullir a %s es inutil.
%.99s %s attempt %s %.99s!	%.99s %s intento %s %.99s!
%s %s sears %s!	¡%s %s chamusca %s!
%s %s...	%s %s...
%s expels %s.	%s expulsa %s.
%s%s%s turns into %s.	%s%s%s se convierte en %s.
%s%s%s.	%s%s%s.
%s %s %s%s %s at %s.	%s %s %s%s %s en %s.
%s turns transparent!	¡%s se vuelve transparente!
%s falls to the %s.	%s cae al %s.
%s looks%s better.	%s se ve%s mejor.
Attempting to revive %s?	¿Intentando revivir a %s?
%s%s suddenly %s%s%s!	¡%s%s de repente %s%s%s!
shudder in dread.	se estremece de pavor.
Some %sobjects meld, and %s arises from the pile!	¡Algunos objetos %s se funden, y %s surge del monton!
bhito: obj is not floor or Stone To Flesh spell	bhito: obj no es suelo ni hechizo Piedra a Carne
%s trapped!	¡%s atrapado!
%s reviving.	%s reviviendo.
zap yourself, but seem unharmed.	te golpeas, pero pareces ileso.
explode a fireball on top of yourself!	¡explota una bola de fuego sobre ti mismo!
imitate a popsicle!	¡imita un polo!
zapyourself: object %d used?	zapyourself: ¿objeto %d usado?
probe towards the %s.	sondea hacia el %s.
probe beneath %s.	sondea bajo %s.
%s beneath you shatters.	%s bajo ti se hace pedazos.
%s gets stuck in a web!	¡%s se queda pegado en una telarana!
%s %s over %s.	%s %s sobre %s.
%s hits %s.	%s golpea a %s.
%s jerks to an abrupt halt.	%s se detiene en seco.
skillfully catch the boomerang.	atrapa habilmente el bumeran.
%ld %s burn.	%ld %s quemado.
%s burns.	%s arde.
%s rips into %s%s	%s se abalanza sobre %s%s
%s disintegrates.	%s se desintegra.
%s body reintegrates before your %s!	¡el cuerpo de %s se reintegra ante tu %s!
%s resurrects!	¡%s resucita!
%s absorbs the deadly %s!	¡%s absorbe el mortal %s!
%s %s is disintegrated!	¡%s %s se desintegra!
%s settles...	%s se asienta...
%s of smoke.	%s de humo.
Unsupported damage type (%d) for mon_spell_hits_spot.	Tipo de dano no soportado (%d) para mon_spell_hits_spot.
fracture %s %s.	fractura %s %s.
maybe_destroy_item with unexpected dmgtyp %d	maybe_destroy_item con dmgtyp inesperado %d
%s%s %s!	¡%s%s %s!
destroy_item: items in multiple chains	destroy_item: objetos en multiples cadenas
fill_ordinary_room: Null subroom	fill_ordinary_room: subsala nula
levl[%i][%i] door not ok	levl[%i][%i] puerta no ok
room %i not connected?	¿sala %i no conectada?
mkstairs:  bogus stair attempt at <%d,%d>	mkstairs:  intento de escaleras falso en <%d,%d>
mkstairs:  placing stairs %s on %s at <%d,%d>	mkstairs:  colocando escaleras %s en %s en <%d,%d>
As you read the book, it %s in your %s!	¡Cuando lees el libro, %s en tu %s!
find yourself reading the %s line over and over again.	te encuentras leyendo la linea %s una y otra vez.
turn the pages of the Book of the Dead...	pasas las paginas del Libro de los Muertos...
This spellbook is too faint to read even once.	Este libro de hechizos es demasiado tenue para leerse ni siquiera una vez.
Unknown spellbook level %d, book %d;	Nivel de libro de hechizos desconocido %d, libro %d;
mime %s%s%s something%s%s.	mimetiza %s%s%s algo%s%s.
Use the '%s' command to %s %s%s.	Usa el comando '%s' para %s %s%s.
Persistent inventory ('perm_invent' option) is not presently enabled.	El inventario persistente (opcion 'perm_invent') no esta habilitado actualmente.
%s %s under the %s here.	%s %s bajo el %s aqui.
%s needs a terminal that is at least %dx%d, yours is %dx%d.	%s necesita un terminal de al menos %dx%d, el tuyo es %dx%d.
set_levltyp(%d,%d,%d)%s%s	set_levltyp(%d,%d,%d)%s%s
set_levltyp_lit(%d,%d,%d,%d)	set_levltyp_lit(%d,%d,%d,%d)
movebubbles: bad pos (%d,%d)	movebubbles: pos incorrecta (%d,%d)
bubble xmin: x = %d, xmin = %d	bubble xmin: x = %d, xmin = %d
bubble ymin: y = %d, ymin = %d	bubble ymin: y = %d, ymin = %d
bubble xmax: x = %d, xmax = %d	bubble xmax: x = %d, xmax = %d
bubble ymax: y = %d, ymax = %d	bubble ymax: y = %d, ymax = %d
mv_bubble: unknown bubble contents	mv_bubble: contenido de burbuja desconocido
make adjustments to %s to suit your %s hand.	haz ajustes a %s para adaptarlo a tu %s mano.
clone_mon trying to create a monster at <%d,%d>?	¿clone_mon intentando crear un monstruo en <%d,%d>?
makemon trying to create a monster at <%d,%d>?	¿makemon intentando crear un monstruo en <%d,%d>?
'%s' prefix has no effect for the %s command.	El prefijo '%s' no tiene efecto para el comando %s.
Exceeded %d extended commands in doextcmd() menu; 'extmenu' disabled.	Excedido %d comandos extendidos en menu doextcmd(); 'extmenu' desactivado.
Too many chars (%d) entered in extcmd_via_menu()	Demasiados caracteres (%d) introducidos en extcmd_via_menu()
Hey!  Who left that %s in here?	¡Eh!  ¿Quien dejo ese %s aqui?
%s doesn't %srecognize you.	%s no te %sreconoce.
%s stomps%s.	%s pisa%s.
%s holds out %s palm and beckons with %s other hand.	%s extiende su %s palma y hace gestos con su otra mano.
%s%s picks up the gold%s.	%s%s recoge el oro%s.
How dare you %s that gold, scoundrel!	¡Como te atreves a %s ese oro, sinverguenza!
%s, confused, disappears.	%s, confundido, desaparece.
%s holds out %s palm demandingly!	¡%s extiende su %s palma exigiendo!
%s rubs %s hands with enraged delight!	¡%s se frota las manos con placer furioso!
%s picks up some gold.	%s recoge algo de oro.
%s remits your gold to the vault.	%s remite tu oro a la camara acorazada.
snprintf %s: func %s, file line %d	snprintf %s: func %s, archivo linea %d
... into a pile of dust.	... en un monton de polvo.
seems to be nothing available for a familiar.	parece no haber nada disponible para un familiar.
makedog() when startingpet_mid is already non-zero?	¿makedog() cuando startingpet_mid ya es no cero?
mon_arrive: no corresponding portal?	¿mon_arrive: sin portal correspondiente?
catchup from now?	¿poniendote al dia desde ahora?
%s seems very disoriented for a moment.	%s parece muy desorientado por un momento.
%s leash suddenly comes loose.	la correa de %s se suelta de repente.
%s leash goes slack.	la correa de %s se afloja.
del_light_source:type=none	del_light_source:tipo=ninguno
del_light_source: not found type=%d, id=%s	del_light_source: no encontrado tipo=%d, id=%s
delete_ls not found, ls=%s	delete_ls no encontrado, ls=%s
transient light %s %s %s not %s?	¿luz transitoria %s %s %s no %s?
save_light_sources: no id! [range=%d]	save_light_sources: ¡sin id! [rango=%d]
save_light_sources: bad type (%d) [range=%d]	save_light_sources: tipo incorrecto (%d) [rango=%d]
maybe_write_ls: no id! [range=%d]	maybe_write_ls: ¡sin id! [rango=%d]
maybe_write_ls: bad type (%d) [range=%d]	maybe_write_ls: tipo incorrecto (%d) [rango=%d]
write_ls: can't find obj #%u!	write_ls: ¡no se puede encontrar obj #%u!
write_ls: can't find mon%s #%u!	write_ls: ¡no se puede encontrar mon%s #%u!
write_ls: stashed monst ptr not in any chain	write_ls: puntero monst escondido no en ninguna cadena
obj_adjust_light_radius: can't find %s	obj_adjust_light_radius: no se puede encontrar %s
secure the tether.	asegura la atadura.
%s%s %s readied.	%s%s %s preparado.
%s%s %s wielded.	%s%s %s empunado.
%s%s %s %s.	%s%s %s %s.
Since your weapon is welded to your %s, you cannot %s %s %s.	Como tu arma esta soldada a tu %s, no puedes %s %s %s.
%s %s suitable %s weapon%s.	%s %s arma %s adecuada%s.
%s from your %s!	¡%s de tu %s!
%s your grasp and %s from your %s!	¡%s tu agarre y %s de tu %s!
%s %s for a while and then %s.	%s %s por un rato y luego %s.
%s %s for a %s.	%s %s por un %s.
%s unexpectedly.	%s inesperadamente.
%s welded to your %s!	¡%s soldado a tu %s!
Some text has been %s into the %s here.	Algo de texto ha sido %s en el %s aqui.
There's some graffiti on the %s here.	Hay un graffiti en el %s aqui.
'%s: "%s"%s'	'%s: "%s"%s'
wipe out the message here.	borrar el mensaje de aqui.
%s %sturns to dust.	%s %sse convierte en polvo.
wipe out the message that was %s here.	borrar el mensaje que %s estaba aqui.
%s the %s with %s%s.	%s el %s con %s%s.
%s the %s with your %s.	%s el %s con tu %s.
%s, then %s.	%s, luego %s.
carving with non-bladed weapon	grabando con arma sin hoja
making graffiti with non-marker stylus	haciendo graffiti con instrumento no marcador
<= -3 weapon valid for engraving	<= -3 arma valida para grabar
overly dry marker valid for graffiti?	¿marcador excesivamente seco valido para graffiti?
engraving sanity: !isok <%i,%i>	cordura de grabado: !isok <%i,%i>
engraving sanity: illegal surface (%d: "%s")	cordura de grabado: superficie ilegal (%d: "%s")
Disturbing grave that isn't a grave? (%d)	¿Profanando tumba que no es una tumba? (%d)
disturb the undead!	¡molestas a los no muertos!
%s gas cloud%s dissipate.	%s nube de gas%s se disipa.
%s bumps into %s!	%s choca contra %s!
create_gas_cloud: cloud too large (%d)!	create_gas_cloud: ¡nube demasiado grande (%d)!
%s blocks your %skick.	%s bloquea tu %sempate.
%s %s, %s evading your %skick.	%s %s, %s evadiendo tu %sempate.
%s %scatches the gold.	%s %satrapa el oro.
%s %sn't come loose.	%s %sno se suelta.
%s %s loose.	%s %s suelto.
break open the lock!	¡rompe la cerradura!
kick at empty space.	empate al vacio.
Crash!  %s a secret door!	¡Crash!  ¡%s una puerta secreta!
kick %s loose!	¡suelta %s a patadas!
kick loose some ornamental coins and gems!	¡sacas a patadas algunas monedas ornamentales y gemas!
Crack!  %s broke!	¡Crack!  ¡%s se rompio!
kick at the side of the pit.	empate al lado del foso.
%s adjacent %s %s.	%s %s %s adyacente.
removed %ld %s worth of goods!	¡retirado %ld %s de productos!
%s, you are a thief!	¡%s, eres un ladron!
%s, you are a thief!	¡%s, eres un ladron!
%s, you are a thief!	¡%s, eres un ladron!
'%s, %s!  Welcome%s to %s %s!'	'¡%s, %s!  Bienvenido%s a %s %s!'
%s, %s!  Welcome%s to %s %s!	¡%s, %s!  Bienvenido%s a %s %s!
'%s, %s!  Welcome%s to %s %s!'	'¡%s, %s!  Bienvenido%s a %s %s!'
%s, %s!  Welcome%s to %s %s!	¡%s, %s!  Bienvenido%s a %s %s!
%s an egg.	%s un huevo.
\n%s	
\n%d error%s %s %s.\n	
%s's %s burn%s	%s %s %s arde%s
%s you can't %s while entangled in a web.	%s no puedes %s mientras estas enredado en una telarana.
Turbulence torpedoes your %s attempts.	La turbulencia torpedea tus intentos de %s.
%s!  Please pay before leaving.	¡%s!  Por favor paga antes de irte.
%s %s that you need to pay before leaving%s	%s %s que necesitas pagar antes de irte%s
%s %s %s%s	%s %s %s%s
%s %s reveals a secret door.	%s %s revela una puerta secreta.
add %s to your repertoire, as '%c'.	añade %s a tu repertorio, como '%c'.
only have %ld%s%s.	solo tienes %ld%s%s.
Persistent inventory display is not supported by '%s'.	La visualizacion de inventario persistente no esta soportada por '%s'.
%s%s%s%s	%s%s%s%s
%s to %s what is lying in %s.	%s a %s que hay tirado en %s.
%s here %s.	%s aqui %s.
touched %s with your bare %s.	tocaste %s con tu %s desnudo.
%s: %s%s%s	%s: %s%s%s
%s at least 1.	%s al menos 1.
%s less than %ld.	%s menos de %ld.
Only gold coins may be moved into the '%c' slot.	Solo monedas de oro pueden moverse a la ranura '%c'.
Couldn't load "%s" - making a maze.	No se pudo cargar "%s" - haciendo un laberinto.
